,TOTAL_ORDERS,REVENUE,AVERAGE_ORDER_VALUE,CARRIAGE_REVENUE,AVERAGESHIPPING,FIRST_ORDER_DATE,LATEST_ORDER_DATE,AVGDAYSBETWEENORDERS,DAYSSINCELASTORDER
118244,3,191.25,63.75,0,0,19-Sep-21,24-Oct-21,11.67,1
118299,2,191.13,95.57,11.98,5.99,06-May-21,24-Oct-21,85.5,1
118516,1,190.99,190.99,5.99,5.99,24-Oct-21,24-Oct-21,0,1
118634,2,190.98,95.49,10.98,5.49,25-Dec-20,24-Oct-21,151.5,1
118643,3,190.97,63.66,16.97,5.66,13-Dec-19,24-Oct-21,227,1
118701,3,190.62,63.54,16.97,5.66,15-Apr-21,24-Oct-21,64,1
118936,1,190,190,1,1,24-Oct-21,24-Oct-21,0,1
118962,1,190,190,0,0,24-Oct-21,24-Oct-21,0,1
119175,1,189.99,189.99,4.99,4.99,24-Oct-21,24-Oct-21,0,1
119217,2,189.99,95,5.99,3,24-Oct-21,24-Oct-21,0,1
119419,2,189.89,94.95,5.99,3,25-Mar-21,24-Oct-21,106.5,1
119641,2,189,94.5,0,0,24-Oct-21,24-Oct-21,0,1
119985,3,188.37,62.79,16.97,5.66,18-Aug-21,24-Oct-21,22.33,1
120092,1,188,188,1,1,24-Oct-21,24-Oct-21,0,1
120095,1,188,188,1,1,24-Oct-21,24-Oct-21,0,1
120173,3,187.98,62.66,10.98,3.66,23-Jul-16,24-Oct-21,639.67,1
120416,1,187,187,0,0,24-Oct-21,24-Oct-21,0,1
120422,1,187,187,0,0,24-Oct-21,24-Oct-21,0,1
120457,1,187,187,0,0,24-Oct-21,24-Oct-21,0,1
120497,1,186.99,186.99,6.99,6.99,24-Oct-21,24-Oct-21,0,1
120543,1,186.99,186.99,7.99,7.99,24-Oct-21,24-Oct-21,0,1
120810,4,186.17,46.54,17.97,4.49,14-Apr-21,24-Oct-21,48.25,1
121270,1,185.49,185.49,4.99,4.99,24-Oct-21,24-Oct-21,0,1
121331,1,185.3,185.3,0,0,24-Oct-21,24-Oct-21,0,1
121337,1,185.3,185.3,0,0,24-Oct-21,24-Oct-21,0,1
121678,1,184.99,184.99,4.99,4.99,24-Oct-21,24-Oct-21,0,1
202545,2,93.1,46.55,3.95,1.98,04-Feb-14,24-Oct-21,1409.5,1
41,44,9006.15,204.69,54.9,1.25,27-Jun-20,23-Oct-21,10.98,2
49,47,8711.5,185.35,226.6,4.82,29-Nov-19,23-Oct-21,14.77,2
146,41,5932.66,144.7,173.66,4.24,18-Feb-20,23-Oct-21,14.95,2
159,22,5797.99,263.55,7.99,0.36,11-Oct-18,23-Oct-21,50.36,2
198,56,5340.53,95.37,218.58,3.9,03-Feb-16,23-Oct-21,37.3,2
209,45,5279.99,117.33,107.79,2.4,01-Jul-20,23-Oct-21,10.64,2
296,24,4771.53,198.81,90.83,3.78,05-Jan-21,23-Oct-21,12.13,2
395,35,4254.66,121.56,144.76,4.14,26-Jul-20,23-Oct-21,12.97,2
414,28,4194.19,149.79,108.79,3.89,20-Mar-20,23-Oct-21,20.79,2
427,18,4154.86,230.83,84.86,4.71,04-May-20,23-Oct-21,29.83,2
440,34,4102.14,120.65,117.74,3.46,20-May-17,23-Oct-21,47.56,2
467,34,4005.15,117.8,59.9,1.76,20-Jul-14,23-Oct-21,78,2
651,33,3589.66,108.78,159.71,4.84,08-Jun-20,23-Oct-21,15.21,2
686,25,3510.45,140.42,82.85,3.31,23-Apr-20,23-Oct-21,21.92,2
712,35,3444.56,98.42,173.66,4.96,02-Feb-17,23-Oct-21,49.26,2
721,30,3427.29,114.24,113.79,3.79,02-Aug-17,23-Oct-21,51.43,2
731,6,3412,568.67,5,0.83,30-Dec-19,23-Oct-21,110.5,2
955,12,3079.95,256.66,27.95,2.33,11-Sep-20,23-Oct-21,33.92,2
1074,29,2944.74,101.54,134.74,4.65,02-Jan-21,23-Oct-21,10.14,2
1149,20,2863.93,143.2,39.93,2,01-Dec-14,23-Oct-21,125.9,2
1200,22,2810.35,127.74,79.85,3.63,11-Feb-18,23-Oct-21,61.36,2
1328,29,2708.35,93.39,83.85,2.89,07-Mar-16,23-Oct-21,70.9,2
1379,21,2668.65,127.08,97.65,4.65,26-Jun-14,23-Oct-21,127.43,2
1405,21,2655.51,126.45,72.01,3.43,13-Apr-14,23-Oct-21,130.95,2
1651,23,2513.52,109.28,98.82,4.3,30-Jun-19,23-Oct-21,36.78,2
1804,38,2426.32,63.85,108.79,2.86,05-Feb-17,23-Oct-21,45.29,2
1830,21,2412.25,114.87,85.75,4.08,02-Aug-14,23-Oct-21,125.67,2
1852,25,2402.37,96.09,95.82,3.83,06-Jun-20,23-Oct-21,20.16,2
1883,16,2387.1,149.19,71.9,4.49,23-May-14,23-Oct-21,169.38,2
1975,29,2345.13,80.87,98.83,3.41,01-Feb-16,23-Oct-21,72.1,2
2022,22,2324.04,105.64,83.84,3.81,26-May-17,23-Oct-21,73.23,2
2078,26,2287.82,87.99,76.87,2.96,23-Sep-16,23-Oct-21,71.38,2
2289,17,2194.86,129.11,71.86,4.23,24-Dec-20,23-Oct-21,17.82,2
2811,18,2015.35,111.96,75.85,4.21,16-Jul-18,23-Oct-21,66.39,2
2967,21,1969.37,93.78,50.87,2.42,04-Apr-15,23-Oct-21,114,2
3108,26,1927.85,74.15,86.85,3.34,12-Feb-21,23-Oct-21,9.73,2
3148,23,1918.88,83.43,87.83,3.82,23-Oct-19,23-Oct-21,31.78,2
5287,9,1532.16,170.24,24.91,2.77,04-Aug-14,23-Oct-21,293,2
7013,23,1351.8,58.77,111.8,4.86,17-Mar-21,23-Oct-21,9.57,2
10555,21,1108.98,52.81,97.83,4.66,15-Jul-19,23-Oct-21,39.57,2
21338,8,756.45,94.56,27.95,3.49,17-Apr-14,23-Oct-21,343.25,2
49891,6,427.83,71.31,9.98,1.66,24-Aug-14,23-Oct-21,436.17,2
59191,7,372.58,53.23,9.98,1.43,26-Dec-14,23-Oct-21,356.14,2
66742,3,336.68,112.23,11.48,3.83,30-Nov-14,23-Oct-21,839.67,2
91465,3,250.75,83.58,4.95,1.65,29-Nov-14,23-Oct-21,840,2
80,40,7390.98,184.77,54.93,1.37,30-Sep-17,22-Oct-21,37.08,3
102,54,6812.43,126.16,195.63,3.62,22-Oct-18,22-Oct-21,20.3,3
133,25,6117.52,244.7,87.82,3.51,14-Jul-17,22-Oct-21,62.44,3
149,17,5907.81,347.52,49.91,2.94,10-Nov-17,22-Oct-21,84.82,3
200,48,5331.67,111.08,86.83,1.81,27-May-14,22-Oct-21,56.35,3
257,48,4969.08,103.52,216.58,4.51,07-Nov-20,22-Oct-21,7.27,3
275,76,4888.02,64.32,248.42,3.27,15-Jul-18,22-Oct-21,15.72,3
299,42,4762.26,113.39,133.76,3.18,15-Aug-18,22-Oct-21,27.71,3
342,28,4475.79,159.85,109.79,3.92,20-Aug-17,22-Oct-21,54.43,3
386,15,4270.99,284.73,69.89,4.66,27-May-20,22-Oct-21,34.2,3
672,22,3546.66,161.21,52.91,2.41,17-Dec-17,22-Oct-21,63.86,3
674,29,3544.36,122.22,68.86,2.37,03-Mar-17,22-Oct-21,58.41,3
932,34,3104.16,91.3,71.86,2.11,13-Sep-20,22-Oct-21,11.88,3
996,7,3030.94,432.99,33.94,4.85,24-Nov-18,22-Oct-21,151.86,3
1123,29,2893.59,99.78,136.74,4.72,12-Jan-18,22-Oct-21,47.55,3
1129,23,2887.88,125.56,109.78,4.77,10-Mar-17,22-Oct-21,73.35,3
1173,19,2842.75,149.62,78.85,4.15,29-Jun-18,22-Oct-21,63.74,3
1335,17,2697.57,158.68,75.87,4.46,28-Feb-17,22-Oct-21,99.82,3
1372,29,2673.29,92.18,103.39,3.57,31-Oct-19,22-Oct-21,24.9,3
1458,29,2617.74,90.27,81.84,2.82,22-May-20,22-Oct-21,17.86,3
1673,23,2501.88,108.78,123.78,5.38,28-Aug-18,22-Oct-21,50.04,3
1780,24,2434.87,101.45,97.82,4.08,20-May-20,22-Oct-21,21.67,3
1810,25,2422.5,96.9,79.85,3.19,06-Feb-20,22-Oct-21,24.96,3
2054,23,2301.63,100.07,91.83,3.99,03-May-20,22-Oct-21,23.35,3
2168,17,2246.06,132.12,80.86,4.76,30-Dec-16,22-Oct-21,103.35,3
2596,16,2085.37,130.34,78.87,4.93,14-Mar-19,22-Oct-21,59.56,3
2948,8,1974.47,246.81,15.97,2,16-Apr-14,22-Oct-21,343.25,3
3315,25,1879.59,75.18,107.79,4.31,23-Apr-20,22-Oct-21,21.88,3
4320,16,1679.9,104.99,83.85,5.24,28-Nov-17,22-Oct-21,89,3
5212,22,1544.75,70.22,110.78,5.04,05-Dec-17,22-Oct-21,64.41,3
5280,24,1533.84,63.91,120.14,5.01,11-May-20,22-Oct-21,22.04,3
5389,28,1517.4,54.19,80.85,2.89,26-Dec-20,22-Oct-21,10.71,3
5827,27,1466.2,54.3,81.84,3.03,08-Sep-19,22-Oct-21,28.7,3
6893,16,1362.86,85.18,76.86,4.8,17-Apr-20,22-Oct-21,34.56,3
7653,19,1299.65,68.4,78.85,4.15,30-Dec-16,22-Oct-21,92.47,3
8389,15,1245.46,83.03,74.86,4.99,04-Jul-19,22-Oct-21,56.07,3
9246,17,1186.84,69.81,90.84,5.34,29-Nov-19,22-Oct-21,40.76,3
36360,7,538.41,76.92,25.91,3.7,01-Mar-15,22-Oct-21,346.71,3
44568,3,465.33,155.11,12.98,4.33,12-Dec-14,22-Oct-21,835.33,3
65186,4,343.93,85.98,8.98,2.25,08-Nov-14,22-Oct-21,635,3
75,54,7649.71,141.66,293.11,5.43,08-Jan-17,21-Oct-21,32.35,4
85,43,7173.63,166.83,91.83,2.14,12-Dec-18,21-Oct-21,24.28,4
165,51,5729.75,112.35,202.1,3.96,23-Nov-19,21-Oct-21,13.69,4
248,27,5021.83,185.99,94.83,3.51,10-Jul-16,21-Oct-21,71.44,4
298,41,4763.72,116.19,145.72,3.55,26-Oct-20,21-Oct-21,8.78,4
316,43,4674.99,108.72,229.59,5.34,31-May-20,21-Oct-21,11.81,4
324,20,4611.88,230.59,68.88,3.44,13-Mar-21,21-Oct-21,11.1,4
474,31,3987.96,128.64,69.86,2.25,24-Nov-18,21-Oct-21,34.26,4
527,30,3854.9,128.5,191.7,6.39,13-Jan-18,21-Oct-21,45.9,4
567,34,3788.24,111.42,135.74,3.99,01-Jan-19,21-Oct-21,30.12,4
581,49,3763.62,76.81,151.72,3.1,30-Jun-18,21-Oct-21,24.67,4
714,31,3443.22,111.07,100.82,3.25,20-Jul-20,21-Oct-21,14.77,4
717,49,3436.28,70.13,110.78,2.26,29-Aug-20,21-Oct-21,8.53,4
730,16,3412.36,213.27,87.86,5.49,14-Sep-20,21-Oct-21,25.13,4
776,18,3332.66,185.15,71.86,3.99,28-Nov-19,21-Oct-21,38.5,4
889,15,3176.64,211.78,32.94,2.2,15-May-18,21-Oct-21,83.67,4
927,15,3121.86,208.12,50.91,3.39,10-Dec-14,21-Oct-21,167.13,4
957,23,3078.84,133.86,92.84,4.04,12-Jan-21,21-Oct-21,12.26,4
965,19,3071.84,161.68,56.89,2.99,26-Sep-17,21-Oct-21,78.21,4
1238,28,2784.67,99.45,123.78,4.42,30-Aug-20,21-Oct-21,14.89,4
1404,38,2655.96,69.89,103.31,2.72,13-Jul-20,21-Oct-21,12.24,4
1798,15,2428.36,161.89,79.86,5.32,23-Jun-20,21-Oct-21,32.33,4
2273,25,2198.66,87.95,140.76,5.63,21-Nov-20,21-Oct-21,13.36,4
2355,25,2169.17,86.77,77.87,3.11,29-Mar-18,21-Oct-21,52.08,4
2594,21,2085.7,99.32,75.85,3.61,17-Jan-20,21-Oct-21,30.62,4
2944,17,1975.49,116.21,72.89,4.29,09-Jul-21,21-Oct-21,6.12,4
2955,18,1972.87,109.6,101.82,5.66,21-Nov-20,21-Oct-21,18.56,4
4589,14,1637.97,117,49.92,3.57,12-Jan-15,21-Oct-21,176.71,4
5404,19,1515.65,79.77,131.65,6.93,02-Oct-15,21-Oct-21,116.37,4
5513,12,1503.94,125.33,11.98,1,01-Nov-14,21-Oct-21,212.17,4
5896,18,1460.23,81.12,72.53,4.03,07-Apr-21,21-Oct-21,10.94,4
6081,20,1441.04,72.05,78.84,3.94,11-Feb-17,21-Oct-21,85.65,4
6114,10,1437.7,143.77,24.95,2.5,19-Feb-14,21-Oct-21,280.1,4
7263,16,1329.76,83.11,107.26,6.7,08-Nov-16,21-Oct-21,113,4
9295,16,1184.07,74,72.87,4.55,06-Mar-20,21-Oct-21,37.13,4
49075,7,433.37,61.91,19.92,2.85,01-Aug-14,21-Oct-21,376.86,4
110135,4,206.45,51.61,4.95,1.24,01-Feb-14,21-Oct-21,704.75,4
166940,2,124.94,62.47,9.94,4.97,29-Nov-14,21-Oct-21,1259,4
4,84,18554.49,220.89,421.29,5.02,01-Oct-16,20-Oct-21,21.96,5
35,32,9685.37,302.67,76.87,2.4,14-Jul-19,20-Oct-21,25.91,5
73,20,7721.85,386.09,93.85,4.69,27-Aug-16,20-Oct-21,94,5
88,109,7148.66,65.58,209.71,1.92,01-Aug-16,20-Oct-21,17.49,5
108,47,6657.88,141.66,190.63,4.06,19-Feb-17,20-Oct-21,36.26,5
138,50,6024.65,120.49,224.55,4.49,23-May-20,20-Oct-21,10.3,5
169,42,5693.21,135.55,73.36,1.75,29-Jan-21,20-Oct-21,6.29,5
191,67,5431.7,81.07,101.8,1.52,09-Jan-21,20-Oct-21,4.24,5
263,22,4932.31,224.2,45.91,2.09,16-Dec-16,20-Oct-21,80.41,5
270,34,4915.07,144.56,70.42,2.07,13-Sep-17,20-Oct-21,44.06,5
287,30,4834.79,161.16,10.99,0.37,28-Oct-15,20-Oct-21,72.8,5
749,28,3391.1,121.11,66.9,2.39,21-Dec-18,20-Oct-21,36.93,5
919,18,3131.58,173.98,73.88,4.1,13-Oct-19,20-Oct-21,41,5
981,19,3045.3,160.28,59.9,3.15,16-Oct-18,20-Oct-21,57.89,5
1139,15,2877.88,191.86,78.88,5.26,26-Jul-20,20-Oct-21,30.07,5
1161,25,2853.36,114.13,73.86,2.95,07-Oct-20,20-Oct-21,15.12,5
1277,16,2760.87,172.55,74.87,4.68,30-Jun-20,20-Oct-21,29.81,5
1420,30,2644.95,88.17,79.85,2.66,29-Jan-20,20-Oct-21,21,5
1422,23,2642.53,114.89,76.43,3.32,11-Sep-20,20-Oct-21,17.57,5
1674,17,2501.72,147.16,44.92,2.64,04-Jun-14,20-Oct-21,158.53,5
1753,34,2447.67,71.99,142.72,4.2,16-Jul-20,20-Oct-21,13.56,5
2382,25,2159.9,86.4,105.8,4.23,20-Dec-18,20-Oct-21,41.4,5
2716,29,2042.67,70.44,134.72,4.65,14-May-16,20-Oct-21,68.45,5
2994,20,1961.24,98.06,71.89,3.59,30-Dec-16,20-Oct-21,87.75,5
3690,18,1795.96,99.78,73.86,4.1,04-Jan-20,20-Oct-21,36.39,5
4327,19,1678.7,88.35,77.7,4.09,15-Apr-20,20-Oct-21,29.11,5
4500,14,1651.57,117.97,75.87,5.42,18-Apr-20,20-Oct-21,39.29,5
4977,17,1577.77,92.81,74.87,4.4,28-Oct-20,20-Oct-21,21,5
5279,23,1533.86,66.69,76.86,3.34,19-Mar-21,20-Oct-21,9.35,5
8452,18,1240.46,68.91,71.86,3.99,27-Dec-19,20-Oct-21,36.83,5
8850,5,1212.67,242.53,20.92,4.18,28-Nov-14,20-Oct-21,503.6,5
8988,15,1204.06,80.27,77.86,5.19,09-Jul-16,20-Oct-21,128.6,5
9449,16,1173.95,73.37,78.85,4.93,06-Aug-20,20-Oct-21,27.5,5
11925,18,1041.2,57.84,29.95,1.66,30-Mar-15,20-Oct-21,133.11,5
12090,16,1034.48,64.66,72.88,4.56,18-May-21,20-Oct-21,9.69,5
15985,13,892.4,68.65,24.75,1.9,27-Mar-14,20-Oct-21,212.62,5
20650,5,771.49,154.3,5.79,1.16,22-Feb-14,20-Oct-21,559.4,5
36212,3,539.94,179.98,11.94,3.98,08-Aug-14,20-Oct-21,876.67,5
44078,10,469.01,46.9,19.96,2,18-Apr-14,20-Oct-21,274.2,5
56445,4,387.73,96.93,9.94,2.49,29-Nov-14,20-Oct-21,629.25,5
66063,3,339.65,113.22,0,0,23-Jul-14,20-Oct-21,882,5
17,36,12969.98,360.28,9.98,0.28,11-Nov-19,19-Oct-21,19.67,6
40,26,9099.36,349.98,47.91,1.84,27-Dec-17,19-Oct-21,53.54,6
46,43,8854.3,205.91,162.7,3.78,29-Aug-19,19-Oct-21,18.19,6
48,107,8774.63,82.01,305.83,2.86,29-Aug-20,19-Oct-21,3.89,6
63,18,8163.52,453.53,0,0,22-Apr-14,19-Oct-21,152.06,6
101,63,6821.37,108.28,233.57,3.71,20-May-20,19-Oct-21,8.21,6
135,55,6076.36,110.48,134.76,2.45,30-Jun-17,19-Oct-21,28.58,6
143,49,5985.21,122.15,137.76,2.81,22-Feb-18,19-Oct-21,27.24,6
214,32,5230.33,163.45,93.83,2.93,11-Mar-15,19-Oct-21,75.44,6
218,15,5218.89,347.93,69.89,4.66,27-Jan-19,19-Oct-21,66.4,6
220,24,5197.83,216.58,69.83,2.91,20-Apr-14,19-Oct-21,114.13,6
243,38,5068.47,133.38,113.96,3,18-Feb-16,19-Oct-21,54.47,6
349,41,4429.23,108.03,164.68,4.02,23-Apr-20,19-Oct-21,13.27,6
390,28,4261.02,152.18,126.02,4.5,12-Jun-18,19-Oct-21,43.75,6
398,38,4237.43,111.51,141.73,3.73,02-Aug-19,19-Oct-21,21.29,6
416,48,4180.29,87.09,85.89,1.79,22-Jan-17,19-Oct-21,36.06,6
588,51,3749.79,73.53,166.69,3.27,26-Jul-17,19-Oct-21,30.31,6
692,7,3497.15,499.59,29.15,4.16,23-Aug-21,19-Oct-21,8.14,6
695,11,3494.81,317.71,46.91,4.26,02-Oct-19,19-Oct-21,68,6
745,19,3392.95,178.58,61.9,3.26,13-May-20,19-Oct-21,27.58,6
766,25,3352.45,134.1,78.85,3.15,01-Oct-20,19-Oct-21,15.32,6
790,11,3315.92,301.45,48.92,4.45,26-Apr-21,19-Oct-21,16,6
880,25,3184.86,127.39,103.81,4.15,28-Mar-19,19-Oct-21,37.44,6
935,26,3099.76,119.22,110.81,4.26,20-Jun-19,19-Oct-21,32.77,6
1453,24,2619.95,109.16,90.85,3.79,28-Sep-20,19-Oct-21,16.08,6
1872,31,2391.6,77.15,99.8,3.22,20-May-20,19-Oct-21,16.68,6
1940,35,2361.14,67.46,166.69,4.76,30-Jul-19,19-Oct-21,23.2,6
1995,31,2334.57,75.31,90.82,2.93,17-Jun-20,19-Oct-21,15.77,6
2159,30,2249.64,74.99,138.74,4.62,13-Jun-19,19-Oct-21,28.63,6
2210,19,2227.37,117.23,97.82,5.15,30-Dec-19,19-Oct-21,34.68,6
2294,19,2191.76,115.36,79.86,4.2,15-Dec-15,19-Oct-21,112.37,6
2383,22,2158.95,98.13,87.84,3.99,20-May-19,19-Oct-21,40.14,6
2516,18,2113.44,117.41,90.84,5.05,12-Jul-20,19-Oct-21,25.78,6
2595,19,2085.42,109.76,81.17,4.27,01-Jun-20,19-Oct-21,26.58,6
2813,15,2014.86,134.32,83.86,5.59,27-Jan-19,19-Oct-21,66.4,6
3500,26,1838.16,70.7,131.76,5.07,28-Mar-20,19-Oct-21,21.92,6
3518,22,1834.58,83.39,93.83,4.27,05-Jul-19,19-Oct-21,38.05,6
3786,19,1776.97,93.52,74.87,3.94,10-Jul-18,19-Oct-21,63,6
4082,8,1715.98,214.5,10.98,1.37,29-Dec-14,19-Oct-21,310.75,6
4616,24,1633.58,68.07,102.23,4.26,02-Apr-20,19-Oct-21,23.54,6
4767,29,1609.63,55.5,87.83,3.03,21-Aug-19,19-Oct-21,27.24,6
6468,13,1402.41,107.88,46.91,3.61,05-Jun-14,19-Oct-21,207.15,6
7903,11,1281.03,116.46,37.93,3.45,24-Feb-14,19-Oct-21,254,6
14371,16,945.87,59.12,76.77,4.8,17-Mar-16,19-Oct-21,127.63,6
21340,11,756.41,68.76,46.81,4.26,13-May-14,19-Oct-21,246.91,6
23057,5,722.95,144.59,74.95,14.99,17-Jun-21,19-Oct-21,24.8,6
31499,7,592.9,84.7,28.9,4.13,07-Jul-14,19-Oct-21,380.14,6
38080,5,521.2,104.24,4.95,0.99,27-Oct-14,19-Oct-21,509.8,6
59511,3,370.84,123.61,4.99,1.66,20-Jul-14,19-Oct-21,882.67,6
61837,7,359.55,51.36,31.9,4.56,24-Jun-14,19-Oct-21,382,6
36,42,9516.9,226.59,37.9,0.9,03-Sep-17,18-Oct-21,35.86,7
76,39,7518,192.77,0,0,07-Jan-21,18-Oct-21,7.28,7
203,27,5313.31,196.79,115.81,4.29,29-Apr-19,18-Oct-21,33.44,7
227,20,5151.19,257.56,41.94,2.1,14-Nov-16,18-Oct-21,89.95,7
237,17,5118.83,301.11,39.93,2.35,11-May-20,18-Oct-21,30.88,7
264,46,4930.83,107.19,33.93,0.74,27-Sep-16,18-Oct-21,40.15,7
328,62,4590.49,74.04,234.59,3.78,07-Mar-19,18-Oct-21,15.42,7
404,21,4224.3,201.16,114.8,5.47,17-Oct-19,18-Oct-21,34.86,7
542,20,3821.33,191.07,97.83,4.89,20-Jun-20,18-Oct-21,24.25,7
800,32,3296.18,103.01,144.73,4.52,09-Dec-19,18-Oct-21,21.22,7
852,27,3229.64,119.62,91.84,3.4,28-Apr-18,18-Oct-21,47,7
863,17,3212.85,188.99,49.9,2.94,03-Dec-16,18-Oct-21,104.71,7
934,30,3100.76,103.36,127.76,4.26,06-Oct-20,18-Oct-21,12.57,7
1040,31,2983.44,96.24,134.74,4.35,06-Dec-20,18-Oct-21,10.19,7
1627,26,2525.7,97.14,103.8,3.99,17-Apr-20,18-Oct-21,21.12,7
1937,19,2364.05,124.42,85.85,4.52,19-Apr-20,18-Oct-21,28.79,7
2052,20,2301.67,115.08,41.92,2.1,08-Feb-14,18-Oct-21,140.45,7
2825,18,2011.57,111.75,71.87,3.99,27-Nov-20,18-Oct-21,18.06,7
3274,18,1886.65,104.81,78.85,4.38,08-Apr-20,18-Oct-21,31,7
3495,28,1839.43,65.69,84.83,3.03,26-May-20,18-Oct-21,18.21,7
3541,23,1828.02,79.48,97.82,4.25,18-Apr-20,18-Oct-21,23.83,7
4249,21,1689.96,80.47,78.86,3.76,20-Aug-20,18-Oct-21,20.19,7
4458,26,1659.66,63.83,104.26,4.01,25-Aug-17,18-Oct-21,58.27,7
4533,17,1647.77,96.93,81.77,4.81,21-Apr-14,18-Oct-21,161,7
4558,17,1643.43,96.67,99.83,5.87,14-Aug-18,18-Oct-21,68.29,7
5406,34,1515.62,44.58,85.87,2.53,18-Mar-17,18-Oct-21,49.26,7
7283,18,1328.35,73.8,83.85,4.66,17-Jun-16,18-Oct-21,108.28,7
7668,14,1298.54,92.75,41.79,2.99,23-May-14,18-Oct-21,193.21,7
10181,15,1130.1,75.34,87.85,5.86,06-May-16,18-Oct-21,132.73,7
11408,21,1065.25,50.73,82.85,3.95,25-Nov-20,18-Oct-21,15.57,7
12449,4,1018.94,254.74,8.94,2.24,16-Jul-14,18-Oct-21,662.75,7
23595,6,712.64,118.77,6.99,1.17,29-Mar-15,18-Oct-21,399.17,7
27603,14,645.63,46.12,35.63,2.55,12-Jul-14,18-Oct-21,189.64,7
69822,3,323.94,107.98,9.94,3.31,09-Feb-15,18-Oct-21,814.33,7
70554,2,320.5,160.25,0,0,28-Nov-14,18-Oct-21,1258,7
184,28,5499.24,196.4,82.24,2.94,02-Feb-21,17-Oct-21,9.18,8
497,34,3914.31,115.13,129.76,3.82,09-Nov-20,17-Oct-21,10.06,8
502,31,3896.81,125.7,167.71,5.41,02-Jun-18,17-Oct-21,39.77,8
529,32,3850.84,120.34,121.79,3.81,29-Jan-18,17-Oct-21,42.41,8
541,26,3824.43,147.09,34.93,1.34,28-Jan-20,17-Oct-21,24.15,8
565,39,3788.62,97.14,203.62,5.22,01-Dec-20,17-Oct-21,8.21,8
598,40,3719.4,92.99,70.9,1.77,01-Nov-17,17-Oct-21,36.15,8
758,21,3370.71,160.51,71.86,3.42,02-Jun-19,17-Oct-21,41.33,8
897,28,3160.05,112.86,94.85,3.39,29-Jul-18,17-Oct-21,42,8
908,35,3142.79,89.79,107.79,3.08,05-May-17,17-Oct-21,46.46,8
914,20,3137.15,156.86,52.9,2.65,21-Jan-21,17-Oct-21,13.45,8
917,17,3133.94,184.35,36.94,2.17,01-Jun-18,17-Oct-21,72.59,8
930,26,3107.86,119.53,77.86,2.99,26-Oct-16,17-Oct-21,69.88,8
2105,23,2274.44,98.89,85.84,3.73,17-Apr-20,17-Oct-21,23.83,8
2577,20,2090.55,104.53,87.85,4.39,02-Oct-20,17-Oct-21,19,8
3035,21,1947.19,92.72,81.84,3.9,01-Sep-18,17-Oct-21,54.38,8
3467,18,1846.87,102.6,72.87,4.05,18-Apr-20,17-Oct-21,30.39,8
4073,16,1718.66,107.42,76.86,4.8,15-Jun-20,17-Oct-21,30.56,8
4651,14,1627.72,116.27,71.87,5.13,20-May-19,17-Oct-21,62.93,8
5035,24,1570.21,65.43,72.86,3.04,25-Oct-18,17-Oct-21,45.33,8
5990,23,1450.88,63.08,85.83,3.73,11-Oct-19,17-Oct-21,32.04,8
7761,22,1291.92,58.72,76.87,3.49,18-Sep-18,17-Oct-21,51.14,8
12035,4,1036.69,259.17,10.94,2.74,19-Nov-14,17-Oct-21,631,8
18436,8,823.96,103,19.96,2.5,09-Apr-14,17-Oct-21,343.5,8
20924,9,765.19,85.02,19.84,2.2,01-Jun-14,17-Oct-21,299.44,8
23558,9,713.17,79.24,25.87,2.87,30-Dec-14,17-Oct-21,275.89,8
27021,4,653.74,163.44,5.99,1.5,18-Jul-14,17-Oct-21,662,8
40448,7,499.15,71.31,30.9,4.41,19-Dec-14,17-Oct-21,356.29,8
85833,4,267.52,66.88,18.92,4.73,13-May-14,17-Oct-21,678.5,8
210701,2,85.05,42.53,4.95,2.48,14-Nov-14,17-Oct-21,1264.5,8
215,24,5228.03,217.83,35.93,1.5,14-Mar-19,16-Oct-21,39.46,9
336,17,4521.4,265.96,44.9,2.64,20-Jul-18,16-Oct-21,69.65,9
338,18,4513.75,250.76,26.95,1.5,23-Nov-18,16-Oct-21,58.78,9
534,19,3843.86,202.31,28.96,1.52,29-May-17,16-Oct-21,84.26,9
551,22,3805.24,172.97,38.94,1.77,09-May-21,16-Oct-21,7.27,9
575,42,3773.02,89.83,214.62,5.11,13-Nov-16,16-Oct-21,42.81,9
635,27,3623.01,134.19,47.92,1.77,19-Jan-16,16-Oct-21,77.67,9
655,68,3578.99,52.63,134.74,1.98,11-Apr-21,16-Oct-21,2.76,9
676,16,3540.02,221.25,40.92,2.56,16-Aug-18,16-Oct-21,72.31,9
778,14,3331.88,237.99,71.88,5.13,31-Oct-18,16-Oct-21,77.21,9
783,18,3323.09,184.62,76.29,4.24,05-Mar-21,16-Oct-21,12.5,9
810,22,3283.75,149.26,105.95,4.82,27-Mar-20,16-Oct-21,25.82,9
831,21,3257.17,155.1,75.87,3.61,30-Jan-20,16-Oct-21,29.76,9
904,7,3146.99,449.57,6.99,1,14-Mar-19,16-Oct-21,135.29,9
958,35,3078.65,87.96,192.65,5.5,06-Jul-19,16-Oct-21,23.8,9
990,23,3037.14,132.05,62.89,2.73,27-Dec-18,16-Oct-21,44.52,9
1207,18,2806.77,155.93,71.87,3.99,16-Jul-20,16-Oct-21,25.39,9
1302,28,2733.34,97.62,113.79,4.06,25-Nov-20,16-Oct-21,11.61,9
1897,25,2380.5,95.22,109.8,4.39,03-May-20,16-Oct-21,21.24,9
